PRNO,PRNAME,BIRTHDAY,PRGUBUN,ORD1CNTT,ORD2CNTT,ORD3CNTT,RCCNTT,CHAKSUNT,ORD1CNTY,ORD2CNTY,ORD3CNTY,RCCNTY,CHAKSUNY
01188,畑端省吾,19820330,栗東,41,73,57,2082,95279,3,6,3,164,9147
01189,堀内岳志,19731005,美浦,28,45,63,1960,66608,2,7,5,151,7162
01190,村田一誠,19781220,美浦,44,51,56,1796,79600,8,7,4,120,14341
01191,蛯名正義,19690319,美浦,70,88,62,1518,133636,5,12,4,126,18651
01192,上原佑紀,19900129,美浦,81,81,62,1410,152122,12,7,9,140,23195
01194,小栗実,19870204,栗東,68,56,64,1543,118309,5,7,10,170,14201
01195,嘉藤貴行,19811105,美浦,72,70,69,1687,124762,4,5,6,151,7881
01199,千葉直人,19860730,美浦,31,32,47,958,58379,3,4,4,146,5116
01201,森一誠,19770928,美浦,45,32,25,719,100796,4,2,2,112,10772
01205,佐藤悠太,19880503,栗東,25,33,25,594,51985,4,11,10,173,11778
01206,高橋一哉,19860304,栗東,29,31,27,1005,50414,7,5,4,143,10775
01207,田中勝春,19710225,美浦,9,10,11,350,24493,4,1,1,90,5760
01209,東田明士,19880927,栗東,19,16,26,622,38595,3,6,10,177,11461
01210,前川恭子,19770409,栗東,12,23,10,624,31968,5,3,3,166,8935
01211,宮地貴稔,19801015,栗東,24,29,30,688,41901,2,5,6,157,5918
01212,秋山真一郎,19790209,栗東,13,9,12,569,24384,4,1,5,178,7410
01215,加藤公太,19721226,栗東,13,11,16,449,22740,5,5,2,124,8158
01217,手塚貴徳,19920625,美浦,1,2,0,30,1767,1,2,0,30,1767
01218,橋田宜長,19881004,栗東,1,4,2,36,5989,1,4,2,36,5989
01219,平岩大典,19830331,美浦,0,0,0,26,200,0,0,0,26,200
01221,室井潔,19750723,美浦,1,1,1,42,1583,1,1,1,42,1583
