CRAWL_TIME,CATEGORY,PLACE,DETAILS,HASH_ID
2026-04-19 14:23:31,出走取消,土曜阪神6R,2番 エイコーンドリーム (4/18 12:43),b09e29ffe461e82224573e239e6059f0
2026-04-19 14:23:31,出走取消,日曜中山8R,10番 リラゲイル     (4/19 13:51),6363bff60888387d6b4751ebc4998b1e
